fullname,cedula,movil,email
Carlos Tolentino,031-0539287-6,(829)-264-0093,carlos.tolentinoe@gmail.com
Carlos Tolentino,031-0539287-6,(829) 264-0093,carlos.tolentinoe@gmail.com
Carlos Tolentino Espinal,031-8569756-6,(809) 264-1193,carlos_tolentinoe@hotmail.com
Paola Lazala,031-888888-7,(809) 555-4444,lazala.paola22@gmail.com
Pedro Enrique,001-847569-6,(829) 456-8569,pedro_enrique@hotmail.com
Pedro Enrique,001-847569-6,(829) 456-8569,pedro_enrique@hotmail.com
Pedro Enrique,001-847569-6,(829) 456-8569,pedro_enrique@hotmail.com
Raul Montesi,256-597755-5,(809)-856-7458,raul.mondesi@gmail.com
José Miguel,102-597755-5,(829)-856-7158,jose.migue@gmail.com
Luis Miguel,102-587755-5,(829)-856-7125,luis.miguel@gmail.com
Margarita Fadul,102-587750-1,(829)-216-7125,margarita01@gmail.com
Nathan Noel,222-555555-6,(809)-000-1111,nathannoel@gmail.com
Yenny,222-551255-6,(809)-010-1151,yenny@gmail.com
Griselda Espianl,2992-5512465-6,(859)-010-1151,griselda.espinal@gmail.com
Pedro Pedro,635-584-6526,8568-8995-5,pedro.pedro@gmail.com
Evangelina,555 555-5555,555-555-555,evanginal@com
Evangelina,555 555-5555,555-555-555,evanginal@com
Evangelina,555 555-5555,555-555-555,evanginal@com
Evangelina,555 555-5555,555-555-555,evanginal@com
Raul Castro,402-555-55575-5,(849) 965-5004,raulcastro.dw@castro.com
Manolo Ozuna,529-145698-9,(849 856-5533,manolo.ozuna@gmail.com

